session_id,customer_id,cart_value,status,started_at,last_activity_at
sess_00079,cust_0052,1294.93,completed,2026-08-29T02:46:49.279933,2026-08-29T02:52:19.062141
sess_00080,cust_0057,214.5,completed,2026-08-31T05:44:24.080869,2026-08-31T05:49:15.628315
sess_00081,cust_0075,13652.37,completed,2026-09-02T05:25:48.695013,2026-09-02T05:27:11.968410
sess_00082,cust_0015,244.77,completed,2026-08-30T20:57:31.830008,2026-08-30T21:00:06.527528
sess_00083,cust_0066,2002.17,completed,2026-08-28T05:39:08.805507,2026-08-28T05:44:00.158902
sess_00084,cust_0016,1373.62,completed,2026-08-30T02:59:46.475796,2026-08-30T03:04:55.035343
sess_00085,cust_0074,3881.81,completed,2026-09-02T10:05:43.307391,2026-09-02T10:12:37.169993
sess_00086,cust_0072,1324.81,completed,2026-09-03T05:04:45.685230,2026-09-03T05:11:09.514625
sess_00087,cust_0033,2665.93,completed,2026-08-29T22:36:36.589617,2026-08-29T22:41:05.765602
sess_00088,cust_0069,14658.9,completed,2026-09-01T11:20:06.581966,2026-09-01T11:25:54.278119
sess_00089,cust_0038,1632.16,completed,2026-08-31T07:48:16.508389,2026-08-31T07:52:31.574095
sess_00090,cust_0043,745.53,completed,2026-08-30T06:04:51.873046,2026-08-30T06:11:53.399540
sess_00091,cust_0051,604.49,completed,2026-09-02T14:01:52.631541,2026-09-02T14:06:08.550019
sess_00092,cust_0034,144.54,completed,2026-08-31T08:28:04.331945,2026-08-31T08:35:07.280762
sess_00093,cust_0053,1638.64,completed,2026-09-01T18:17:26.134425,2026-09-01T18:22:28.762981
sess_00094,cust_0040,995.37,completed,2026-09-02T04:06:28.335580,2026-09-02T04:13:37.547359
sess_00095,cust_0063,15108.89,completed,2026-09-03T08:06:22.974839,2026-09-03T08:08:53.335496
sess_00096,cust_0045,636.77,completed,2026-09-03T03:49:31.561204,2026-09-03T03:55:14.019858
sess_00097,cust_0036,2723.28,completed,2026-08-30T17:50:09.434830,2026-08-30T17:56:14.988217
sess_00098,cust_0051,612.25,abandoned,2026-08-31T22:31:21.089197,2026-08-31T22:38:26.216329
sess_00099,cust_0009,593.87,completed,2026-08-31T19:05:36.230652,2026-08-31T19:10:57.992115
sess_edge_01,cust_0028,2100.00,abandoned,2026-09-05T08:00:00.000000,2026-09-05T08:05:00.000000
sess_edge_02,cust_0028,1850.00,abandoned,2026-09-05T09:00:00.000000,2026-09-05T09:06:00.000000
sess_edge_03,cust_0028,950.00,abandoned,2026-09-05T10:00:00.000000,2026-09-05T10:04:00.000000
