transaction_id,customer_id,amount,payment_method,status,failure_code,failure_source,failure_category,is_disputed,timestamp,retry_count,created_at,last_contact_at
txn_scaled_0021,cust_0039,2468.06,netbanking,success,,,,False,2026-08-28T18:08:59.596788,0,,
txn_scaled_0022,cust_0035,2946.63,UPI,success,,,,False,2026-08-28T10:47:19.340660,0,,
txn_scaled_0023,cust_0068,641.39,UPI,failed,card_expired,customer,business_decline,False,2026-09-01T04:22:00.559704,0,,
txn_scaled_0024,cust_0044,482.38,card,success,,,,False,2026-08-29T09:36:15.947317,0,,
txn_scaled_0025,cust_0073,4715.9,UPI,failed,authentication_failed,customer,business_decline,False,2026-09-02T04:04:00.357181,0,,
txn_scaled_0026,cust_0025,3765.0,UPI,failed,insufficient_funds,customer,business_decline,True,2026-08-31T22:48:38.853867,0,,
txn_scaled_0027,cust_0038,2994.54,card,success,,,,False,2026-08-30T22:48:12.309559,0,,
txn_scaled_0028,cust_0024,14753.33,card,success,,,,False,2026-08-31T13:21:54.057334,0,,
txn_scaled_0029,cust_0038,734.53,card,success,,,,False,2026-08-31T15:46:45.737935,0,,
txn_scaled_0030,cust_0077,23993.11,card,failed,insufficient_funds,customer,business_decline,False,2026-08-29T22:00:34.038784,0,,
txn_scaled_0031,cust_0021,1387.6,card,success,,,,False,2026-08-29T21:18:47.069425,0,,
txn_scaled_0032,cust_0030,315.73,card,success,,,,False,2026-08-29T18:58:13.178447,0,,
txn_scaled_0033,cust_0060,3698.6,UPI,success,,,,False,2026-08-30T05:18:21.501093,0,,
txn_scaled_0034,cust_0049,799.4,card,success,,,,False,2026-08-31T00:56:40.688182,0,,
txn_scaled_0035,cust_0013,8489.36,card,failed,authentication_failed,customer,business_decline,False,2026-08-29T01:13:31.337987,0,,
txn_scaled_0036,cust_0017,21852.77,card,success,,,,False,2026-08-28T21:21:43.239278,0,,
txn_scaled_0037,cust_0078,12731.7,wallet,success,,,,False,2026-08-28T19:04:44.064366,0,,
txn_scaled_0038,cust_0020,757.84,UPI,success,,,,False,2026-08-29T07:03:57.188582,0,,
txn_scaled_0039,cust_0066,810.86,netbanking,failed,incorrect_otp,customer,business_decline,False,2026-08-31T02:35:15.724076,0,,
txn_scaled_0040,cust_0010,1366.89,UPI,success,,,,False,2026-09-02T12:45:11.367595,0,,
txn_scaled_0041,cust_0052,2630.73,netbanking,success,,,,False,2026-09-01T04:24:42.934700,0,,
txn_scaled_0042,cust_0074,515.18,card,failed,authentication_failed,customer,business_decline,False,2026-08-27T21:03:41.682085,0,,
txn_scaled_0043,cust_0053,390.54,netbanking,success,,,,False,2026-08-30T17:34:44.200709,0,,
txn_scaled_0044,cust_0062,259.44,UPI,success,,,,False,2026-09-03T07:07:25.788896,0,,
txn_scaled_0045,cust_0059,14499.4,UPI,success,,,,False,2026-08-28T01:31:01.227819,0,,
txn_scaled_0046,cust_0003,337.33,UPI,success,,,,False,2026-09-02T21:53:48.574884,0,,
txn_scaled_0047,cust_0058,4292.77,UPI,success,,,,False,2026-09-01T05:05:23.657208,0,,
txn_scaled_0048,cust_0032,10394.0,UPI,success,,,,False,2026-08-28T15:44:05.878661,0,,
txn_scaled_0049,cust_0008,102.6,netbanking,success,,,,False,2026-08-29T00:45:10.251595,0,,
txn_scaled_0050,cust_0019,13980.72,netbanking,success,,,,False,2026-09-01T19:55:28.019146,0,,
txn_scaled_0051,cust_0032,4254.59,card,failed,incorrect_otp,customer,business_decline,False,2026-08-29T03:09:40.030114,0,,
txn_scaled_0052,cust_0013,11792.57,netbanking,success,,,,False,2026-08-30T10:46:51.473778,0,,
txn_scaled_0053,cust_0025,676.45,UPI,success,,,,False,2026-09-02T23:13:57.330201,0,,
txn_scaled_0054,cust_0076,548.92,netbanking,success,,,,False,2026-08-28T20:40:16.687587,0,,
txn_scaled_0055,cust_0047,543.97,UPI,success,,,,False,2026-09-03T00:24:54.965753,0,,
txn_scaled_0056,cust_0055,691.25,card,success,,,,False,2026-08-27T18:35:15.679349,0,,
txn_scaled_0057,cust_0034,3659.63,card,success,,,,False,2026-08-30T04:31:36.208268,0,,
txn_scaled_0058,cust_0041,1711.76,card,success,,,,False,2026-08-28T12:54:43.880820,0,,
txn_scaled_0059,cust_0059,357.62,UPI,success,,,,False,2026-08-30T12:15:54.934899,0,,
txn_scaled_0060,cust_0062,3527.37,UPI,success,,,,False,2026-09-02T00:21:49.914611,0,,
txn_scaled_0061,cust_0035,306.22,UPI,failed,insufficient_funds,customer,business_decline,False,2026-08-30T14:37:37.586314,0,,
txn_scaled_0062,cust_0060,778.72,UPI,success,,,,False,2026-08-29T23:29:17.926237,0,,
txn_scaled_0063,cust_0039,952.29,netbanking,success,,,,False,2026-08-29T20:27:16.978938,0,,
txn_scaled_0064,cust_0070,219.73,card,success,,,,False,2026-09-01T04:25:37.423456,0,,
txn_scaled_0065,cust_0024,860.48,card,success,,,,False,2026-09-01T06:59:16.603465,0,,
txn_scaled_0066,cust_0035,168.49,UPI,success,,,,False,2026-08-29T10:16:10.991339,0,,
txn_scaled_0067,cust_0024,1670.66,card,success,,,,False,2026-09-01T10:13:50.139017,0,,
txn_scaled_0068,cust_0005,906.95,card,success,,,,False,2026-08-27T16:19:06.425669,0,,
txn_scaled_0069,cust_0062,10794.91,UPI,failed,authentication_failed,customer,business_decline,True,2026-09-02T18:45:54.991223,0,,
txn_scaled_0070,cust_0061,855.9,card,failed,card_expired,customer,business_decline,False,2026-09-02T16:50:00.097290,0,,
txn_scaled_0071,cust_0038,618.03,card,success,,,,False,2026-09-02T21:41:22.586602,0,,
txn_scaled_0072,cust_0079,767.45,UPI,success,,,,False,2026-09-01T22:05:04.419503,0,,
txn_scaled_0073,cust_0054,4277.42,UPI,success,,,,False,2026-09-01T08:41:46.028236,0,,
txn_scaled_0074,cust_0026,537.55,UPI,success,,,,False,2026-08-30T02:54:48.509610,0,,
txn_scaled_0075,cust_0020,277.61,UPI,success,,,,False,2026-09-03T11:33:01.722970,0,,
txn_scaled_0076,cust_0036,18549.17,UPI,success,,,,False,2026-08-29T13:53:53.124865,0,,
txn_scaled_0077,cust_0075,622.05,netbanking,success,,,,False,2026-08-29T20:55:16.495682,0,,
txn_scaled_0078,cust_0034,365.31,UPI,failed,insufficient_funds,customer,business_decline,False,2026-08-28T17:07:33.474644,0,,
txn_scaled_0079,cust_0015,632.46,UPI,success,,,,False,2026-08-31T05:15:31.467577,0,,
txn_scaled_0080,cust_0056,1050.96,card,failed,insufficient_funds,customer,business_decline,False,2026-09-02T22:29:08.767971,0,,
txn_scaled_0081,cust_0073,624.85,netbanking,failed,card_expired,customer,business_decline,False,2026-08-30T09:21:48.050902,0,,
txn_scaled_0082,cust_0056,364.83,card,failed,card_expired,customer,business_decline,False,2026-08-28T02:05:59.177862,0,,
txn_scaled_0083,cust_0042,2852.98,UPI,failed,authentication_failed,customer,business_decline,False,2026-09-01T06:03:43.966797,0,,
txn_scaled_0084,cust_0070,3893.86,card,failed,insufficient_funds,customer,business_decline,False,2026-09-03T05:50:05.575586,0,,
txn_scaled_0085,cust_0000,370.13,UPI,success,,,,False,2026-08-29T21:30:46.998255,0,,
txn_scaled_0086,cust_0063,874.43,UPI,success,,,,False,2026-08-30T02:55:52.792751,0,,
txn_scaled_0087,cust_0056,4304.34,card,success,,,,False,2026-08-28T08:01:03.965822,0,,
txn_scaled_0088,cust_0020,822.25,UPI,failed,insufficient_funds,customer,business_decline,False,2026-09-01T07:47:38.316300,0,,
txn_scaled_0089,cust_0019,777.89,netbanking,success,,,,False,2026-08-31T00:16:22.494753,0,,
txn_scaled_0090,cust_0060,14705.78,UPI,success,,,,False,2026-09-01T19:03:11.548006,0,,
txn_scaled_0091,cust_0017,16620.37,UPI,success,,,,False,2026-08-28T10:50:36.510058,0,,
txn_scaled_0092,cust_0000,14346.41,UPI,success,,,,False,2026-09-01T12:28:58.982911,0,,
txn_scaled_0093,cust_0019,2443.79,netbanking,success,,,,False,2026-08-31T08:58:48.136687,0,,
txn_scaled_0094,cust_0041,835.76,card,success,,,,False,2026-08-28T09:54:24.901980,0,,
txn_scaled_0095,cust_0052,611.23,netbanking,success,,,,False,2026-09-03T04:40:02.113506,0,,
txn_scaled_0096,cust_0019,3075.15,netbanking,failed,card_expired,customer,business_decline,False,2026-08-31T00:47:05.232712,0,,
txn_scaled_0097,cust_0067,904.2,UPI,failed,bank_technical_error,gateway,technical_decline,False,2026-08-28T03:02:44.873329,0,,
txn_scaled_0098,cust_0033,4701.67,UPI,success,,,,False,2026-09-01T03:07:18.165646,0,,
txn_scaled_0099,cust_0068,1108.77,card,success,,,,False,2026-08-31T20:09:30.316378,0,,
txn_scaled_0100,cust_0008,177.31,card,success,,,,False,2026-09-01T20:33:30.956972,0,,
txn_scaled_0101,cust_0012,347.67,card,success,,,,False,2026-08-29T04:15:28.409677,0,,
txn_scaled_0102,cust_0003,240.66,UPI,success,,,,False,2026-09-03T04:16:24.662144,0,,
txn_scaled_0103,cust_0067,677.33,UPI,success,,,,False,2026-08-31T14:46:31.102220,0,,
txn_scaled_0104,cust_0048,308.97,UPI,success,,,,False,2026-08-30T03:53:19.169109,0,,
txn_scaled_0105,cust_0032,657.28,card,success,,,,False,2026-08-29T19:58:14.734197,0,,
txn_scaled_0106,cust_0009,2875.39,UPI,success,,,,False,2026-08-31T09:47:21.826876,0,,
txn_scaled_0107,cust_0032,404.9,netbanking,success,,,,False,2026-08-31T07:15:05.700499,0,,
txn_scaled_0108,cust_0045,19849.95,UPI,success,,,,False,2026-08-30T11:25:53.744628,0,,
txn_scaled_0109,cust_0035,20944.17,wallet,success,,,,False,2026-09-03T10:38:22.350307,0,,
txn_scaled_0110,cust_0036,300.19,UPI,success,,,,False,2026-08-29T01:40:31.855536,0,,
txn_scaled_0111,cust_0017,465.46,wallet,success,,,,False,2026-08-30T02:27:15.546890,0,,
txn_scaled_0112,cust_0074,4844.88,UPI,failed,authentication_failed,customer,business_decline,False,2026-08-31T22:42:11.926264,0,,
txn_scaled_0113,cust_0046,2558.23,UPI,success,,,,False,2026-08-30T18:49:00.484385,0,,
txn_scaled_0114,cust_0037,7669.35,UPI,success,,,,False,2026-08-29T06:34:40.904686,0,,
txn_scaled_0115,cust_0028,2805.4,wallet,success,,,,False,2026-08-28T11:29:46.966996,0,,
txn_scaled_0116,cust_0050,777.81,netbanking,failed,card_expired,customer,business_decline,False,2026-09-03T09:39:41.997395,0,,
txn_scaled_0117,cust_0047,3248.14,UPI,success,,,,False,2026-09-02T17:47:52.277390,0,,
txn_scaled_0118,cust_0078,1066.77,netbanking,failed,insufficient_funds,customer,business_decline,False,2026-09-01T22:48:37.117395,0,,
txn_scaled_0119,cust_0038,1060.59,card,failed,authentication_failed,customer,business_decline,False,2026-08-27T12:41:03.123748,0,,
txn_scaled_0120,cust_0069,204.39,UPI,success,,,,False,2026-08-31T13:35:12.139535,0,,
txn_scaled_0121,cust_0062,1887.5,UPI,success,,,,False,2026-08-30T04:34:13.540942,0,,
txn_scaled_0122,cust_0056,3587.03,card,success,,,,False,2026-08-27T20:18:24.233274,0,,
txn_scaled_0123,cust_0045,1266.91,netbanking,success,,,,False,2026-09-03T01:49:39.306072,0,,
txn_scaled_0124,cust_0027,2200.0,UPI,success,,,,False,2026-08-30T00:11:37.138217,0,,
txn_scaled_0125,cust_0016,774.28,card,failed,card_expired,customer,business_decline,False,2026-08-28T23:47:15.645134,0,,
txn_scaled_0126,cust_0076,340.0,netbanking,success,,,,False,2026-09-03T11:31:25.058465,0,,
txn_scaled_0127,cust_0022,835.52,UPI,success,,,,False,2026-09-02T17:31:56.544796,0,,
txn_scaled_0128,cust_0075,2714.81,netbanking,failed,incorrect_otp,customer,business_decline,False,2026-09-01T05:36:23.019805,0,,
txn_scaled_0129,cust_0046,4705.93,card,failed,bank_not_available,gateway,technical_decline,False,2026-08-30T21:46:33.683238,0,,
txn_scaled_0130,cust_0066,22632.5,netbanking,success,,,,False,2026-09-01T09:19:33.977004,0,,
txn_scaled_0131,cust_0054,740.98,UPI,success,,,,False,2026-08-29T16:44:08.234382,0,,
txn_scaled_0132,cust_0008,2649.49,card,success,,,,False,2026-09-02T14:47:59.327393,0,,
txn_scaled_0133,cust_0076,717.46,netbanking,success,,,,False,2026-08-30T18:51:59.224722,0,,
txn_scaled_0134,cust_0070,456.32,card,failed,insufficient_funds,customer,business_decline,False,2026-08-29T10:53:56.018405,0,,
txn_scaled_0135,cust_0012,20914.42,card,success,,,,False,2026-09-01T07:29:30.757922,0,,
txn_scaled_0136,cust_0060,728.49,UPI,success,,,,False,2026-09-03T00:43:17.775239,0,,
txn_scaled_0137,cust_0016,219.49,UPI,success,,,,False,2026-08-30T14:31:46.979100,0,,
txn_scaled_0138,cust_0045,6380.41,UPI,success,,,,False,2026-08-28T09:14:02.261273,0,,
txn_scaled_0139,cust_0036,786.25,UPI,success,,,,False,2026-08-30T07:07:51.976827,0,,
txn_scaled_0140,cust_0001,1134.98,UPI,failed,bank_technical_error,gateway,technical_decline,False,2026-09-03T10:00:00.000000,3,,
txn_scaled_0141,cust_0003,918.84,card,failed,payment_timed_out,gateway,technical_decline,False,2026-09-03T09:00:00.000000,0,,RECENT
txn_scaled_0142,cust_0005,2974.94,netbanking,failed,bank_not_available,gateway,technical_decline,False,2026-09-03T08:00:00.000000,0,2026-07-01T00:00:00.000000,
txn_scaled_0143,cust_0061,1027.2,card,success,,,,False,2026-09-02T00:05:25.633444,0,,
txn_scaled_0144,cust_0033,4106.18,UPI,success,,,,False,2026-08-28T00:20:41.869111,0,,
txn_scaled_0145,cust_0071,162.68,card,success,,,,False,2026-08-29T20:48:20.230532,0,,
txn_scaled_0146,cust_0069,1028.25,UPI,success,,,,False,2026-09-03T01:45:32.860771,0,,
txn_scaled_0147,cust_0067,583.37,UPI,success,,,,False,2026-09-02T09:33:04.686142,0,,
txn_scaled_0148,cust_0030,149.35,card,success,,,,False,2026-08-31T16:09:56.546563,0,,
txn_scaled_0149,cust_0010,8664.18,UPI,success,,,,False,2026-08-31T13:34:12.771205,0,,
txn_scaled_0150,cust_0040,372.04,UPI,success,,,,False,2026-09-01T19:54:02.735858,0,,
txn_scaled_0151,cust_0009,515.08,UPI,success,,,,False,2026-09-03T10:26:06.011676,0,,
txn_scaled_0152,cust_0064,243.27,netbanking,success,,,,False,2026-09-01T15:26:46.789159,0,,
txn_scaled_0153,cust_0069,709.56,card,success,,,,False,2026-08-29T13:48:19.053307,0,,
txn_scaled_0154,cust_0038,332.54,UPI,failed,payment_timed_out,gateway,technical_decline,False,2026-08-27T23:27:53.947349,0,,
txn_scaled_0155,cust_0026,23055.23,UPI,failed,insufficient_funds,customer,business_decline,False,2026-08-29T11:26:28.149218,0,,
txn_scaled_0156,cust_0011,232.84,UPI,success,,,,False,2026-08-30T01:26:24.766267,0,,
txn_scaled_0157,cust_0033,854.79,card,success,,,,False,2026-09-02T08:51:15.220750,0,,
txn_scaled_0158,cust_0019,231.96,netbanking,success,,,,False,2026-08-30T16:20:26.993089,0,,
txn_scaled_0159,cust_0039,700.91,UPI,success,,,,False,2026-08-31T22:44:18.763530,0,,
txn_scaled_0160,cust_0013,4286.41,wallet,success,,,,False,2026-09-01T00:34:55.161785,0,,
txn_scaled_0161,cust_0030,818.73,netbanking,success,,,,False,2026-08-28T10:44:46.474926,0,,
txn_scaled_0162,cust_0042,782.49,UPI,failed,incorrect_otp,customer,business_decline,False,2026-08-29T00:33:32.647130,0,,
txn_scaled_0163,cust_0048,2813.5,card,success,,,,False,2026-08-28T09:28:33.529698,0,,
txn_scaled_0164,cust_0039,2617.61,netbanking,success,,,,False,2026-08-28T18:08:59.596788,0,,
txn_scaled_0165,cust_0035,2691.7,UPI,success,,,,False,2026-08-28T10:47:19.340660,0,,
txn_scaled_0166,cust_0068,661.03,UPI,failed,card_expired,customer,business_decline,False,2026-09-01T04:22:00.559704,0,,
txn_scaled_0167,cust_0044,481.12,card,success,,,,False,2026-08-29T09:36:15.947317,0,,
txn_scaled_0168,cust_0073,5144.16,UPI,failed,authentication_failed,customer,business_decline,False,2026-09-02T04:04:00.357181,0,,
txn_scaled_0169,cust_0025,3529.58,UPI,failed,insufficient_funds,customer,business_decline,True,2026-08-31T22:48:38.853867,0,,
txn_scaled_0170,cust_0038,2754.43,card,success,,,,False,2026-08-30T22:48:12.309559,0,,
txn_scaled_0171,cust_0024,15259.82,card,success,,,,False,2026-08-31T13:21:54.057334,0,,
txn_scaled_0172,cust_0038,759.62,card,success,,,,False,2026-08-31T15:46:45.737935,0,,
txn_scaled_0173,cust_0077,21425.8,card,failed,insufficient_funds,customer,business_decline,False,2026-08-29T22:00:34.038784,0,,
txn_scaled_0174,cust_0021,1563.47,card,success,,,,False,2026-08-29T21:18:47.069425,0,,
txn_scaled_0175,cust_0030,311.39,card,success,,,,False,2026-08-29T18:58:13.178447,0,,
txn_scaled_0176,cust_0060,3172.56,UPI,success,,,,False,2026-08-30T05:18:21.501093,0,,
txn_scaled_0177,cust_0049,788.17,card,success,,,,False,2026-08-31T00:56:40.688182,0,,
txn_scaled_0178,cust_0013,8426.08,card,failed,authentication_failed,customer,business_decline,False,2026-08-29T01:13:31.337987,0,,
txn_scaled_0179,cust_0017,23431.27,card,success,,,,False,2026-08-28T21:21:43.239278,0,,
txn_scaled_0180,cust_0078,13063.02,wallet,success,,,,False,2026-08-28T19:04:44.064366,0,,
txn_scaled_0181,cust_0020,724.71,UPI,success,,,,False,2026-08-29T07:03:57.188582,0,,
txn_scaled_0182,cust_0066,1035.91,netbanking,failed,incorrect_otp,customer,business_decline,False,2026-08-31T02:35:15.724076,0,,
txn_scaled_0183,cust_0010,1367.56,UPI,success,,,,False,2026-09-02T12:45:11.367595,0,,
txn_scaled_0184,cust_0052,2479.6,netbanking,success,,,,False,2026-09-01T04:24:42.934700,0,,
txn_scaled_0185,cust_0074,405.75,card,failed,authentication_failed,customer,business_decline,False,2026-08-27T21:03:41.682085,0,,
txn_scaled_0186,cust_0053,340.59,netbanking,success,,,,False,2026-08-30T17:34:44.200709,0,,
txn_scaled_0187,cust_0062,219.95,UPI,success,,,,False,2026-09-03T07:07:25.788896,0,,
txn_scaled_0188,cust_0059,14972.21,UPI,success,,,,False,2026-08-28T01:31:01.227819,0,,
txn_scaled_0189,cust_0003,387.31,UPI,success,,,,False,2026-09-02T21:53:48.574884,0,,
txn_scaled_0190,cust_0058,4781.48,UPI,success,,,,False,2026-09-01T05:05:23.657208,0,,
txn_scaled_0191,cust_0032,10058.74,UPI,success,,,,False,2026-08-28T15:44:05.878661,0,,
txn_scaled_0192,cust_0008,114.46,netbanking,success,,,,False,2026-08-29T00:45:10.251595,0,,
txn_scaled_0193,cust_0019,16249.85,netbanking,success,,,,False,2026-09-01T19:55:28.019146,0,,
txn_scaled_0194,cust_0032,4389.86,card,failed,incorrect_otp,customer,business_decline,False,2026-08-29T03:09:40.030114,0,,
txn_scaled_0195,cust_0013,11568.81,netbanking,success,,,,False,2026-08-30T10:46:51.473778,0,,
txn_scaled_0196,cust_0025,740.28,UPI,success,,,,False,2026-09-02T23:13:57.330201,0,,
txn_scaled_0197,cust_0076,591.08,netbanking,success,,,,False,2026-08-28T20:40:16.687587,0,,
txn_scaled_0198,cust_0047,603.34,UPI,success,,,,False,2026-09-03T00:24:54.965753,0,,
txn_scaled_0199,cust_0055,732.69,card,success,,,,False,2026-08-27T18:35:15.679349,0,,
txn_scaled_0200,cust_0034,3699.5,card,success,,,,False,2026-08-30T04:31:36.208268,0,,
txn_scaled_0201,cust_0041,2234.13,card,success,,,,False,2026-08-28T12:54:43.880820,0,,
txn_scaled_0202,cust_0059,389.06,UPI,success,,,,False,2026-08-30T12:15:54.934899,0,,
txn_scaled_0203,cust_0062,4252.44,UPI,success,,,,False,2026-09-02T00:21:49.914611,0,,
txn_scaled_0204,cust_0035,352.11,UPI,failed,insufficient_funds,customer,business_decline,False,2026-08-30T14:37:37.586314,0,,
txn_scaled_0205,cust_0060,716.49,UPI,success,,,,False,2026-08-29T23:29:17.926237,0,,
txn_scaled_0206,cust_0039,897.21,netbanking,success,,,,False,2026-08-29T20:27:16.978938,0,,
txn_scaled_0207,cust_0070,181.11,card,success,,,,False,2026-09-01T04:25:37.423456,0,,
txn_scaled_0208,cust_0024,704.07,card,success,,,,False,2026-09-01T06:59:16.603465,0,,
txn_scaled_0209,cust_0035,187.19,UPI,success,,,,False,2026-08-29T10:16:10.991339,0,,
txn_scaled_0210,cust_0024,1287.24,card,success,,,,False,2026-09-01T10:13:50.139017,0,,
txn_scaled_0211,cust_0005,835.64,card,success,,,,False,2026-08-27T16:19:06.425669,0,,
txn_scaled_0212,cust_0062,10031.85,UPI,failed,authentication_failed,customer,business_decline,True,2026-09-02T18:45:54.991223,0,,
txn_scaled_0213,cust_0061,788.18,card,failed,card_expired,customer,business_decline,False,2026-09-02T16:50:00.097290,0,,
txn_scaled_0214,cust_0038,680.07,card,success,,,,False,2026-09-02T21:41:22.586602,0,,
txn_scaled_0215,cust_0079,891.39,UPI,success,,,,False,2026-09-01T22:05:04.419503,0,,
txn_scaled_0216,cust_0054,4836.84,UPI,success,,,,False,2026-09-01T08:41:46.028236,0,,
txn_scaled_0217,cust_0026,619.65,UPI,success,,,,False,2026-08-30T02:54:48.509610,0,,
txn_scaled_0218,cust_0020,314.98,UPI,success,,,,False,2026-09-03T11:33:01.722970,0,,
txn_scaled_0219,cust_0036,20220.66,UPI,success,,,,False,2026-08-29T13:53:53.124865,0,,
txn_scaled_0220,cust_0075,613.54,netbanking,success,,,,False,2026-08-29T20:55:16.495682,0,,
txn_scaled_0221,cust_0034,368.24,UPI,failed,insufficient_funds,customer,business_decline,False,2026-08-28T17:07:33.474644,0,,
txn_scaled_0222,cust_0015,505.57,UPI,success,,,,False,2026-08-31T05:15:31.467577,0,,
txn_scaled_0223,cust_0056,830.47,card,failed,insufficient_funds,customer,business_decline,False,2026-09-02T22:29:08.767971,0,,
txn_scaled_0224,cust_0073,539.3,netbanking,failed,card_expired,customer,business_decline,False,2026-08-30T09:21:48.050902,0,,
txn_scaled_0225,cust_0056,378.77,card,failed,card_expired,customer,business_decline,False,2026-08-28T02:05:59.177862,0,,
txn_scaled_0226,cust_0042,2800.82,UPI,failed,authentication_failed,customer,business_decline,False,2026-09-01T06:03:43.966797,0,,
txn_scaled_0227,cust_0070,3858.48,card,failed,insufficient_funds,customer,business_decline,False,2026-09-03T05:50:05.575586,0,,
txn_scaled_0228,cust_0000,416.84,UPI,success,,,,False,2026-08-29T21:30:46.998255,0,,
txn_scaled_0229,cust_0063,988.69,UPI,success,,,,False,2026-08-30T02:55:52.792751,0,,
txn_scaled_0230,cust_0056,4092.87,card,success,,,,False,2026-08-28T08:01:03.965822,0,,
txn_scaled_0231,cust_0020,1038.5,UPI,failed,insufficient_funds,customer,business_decline,False,2026-09-01T07:47:38.316300,0,,
txn_scaled_0232,cust_0019,752.6,netbanking,success,,,,False,2026-08-31T00:16:22.494753,0,,
txn_scaled_0233,cust_0060,13671.86,UPI,success,,,,False,2026-09-01T19:03:11.548006,0,,
txn_scaled_0234,cust_0017,14134.04,UPI,success,,,,False,2026-08-28T10:50:36.510058,0,,
txn_scaled_0235,cust_0000,14194.45,UPI,success,,,,False,2026-09-01T12:28:58.982911,0,,
txn_scaled_0236,cust_0019,2553.39,netbanking,success,,,,False,2026-08-31T08:58:48.136687,0,,
txn_scaled_0237,cust_0041,790.7,card,success,,,,False,2026-08-28T09:54:24.901980,0,,
txn_scaled_0238,cust_0052,708.64,netbanking,success,,,,False,2026-09-03T04:40:02.113506,0,,
txn_scaled_0239,cust_0019,2927.93,netbanking,failed,card_expired,customer,business_decline,False,2026-08-31T00:47:05.232712,0,,
txn_scaled_0240,cust_0067,839.1,UPI,failed,bank_technical_error,gateway,technical_decline,False,2026-08-28T03:02:44.873329,0,,
txn_scaled_0241,cust_0033,4825.38,UPI,success,,,,False,2026-09-01T03:07:18.165646,0,,
txn_scaled_0242,cust_0068,999.97,card,success,,,,False,2026-08-31T20:09:30.316378,0,,
txn_scaled_0243,cust_0008,189.96,card,success,,,,False,2026-09-01T20:33:30.956972,0,,
txn_scaled_0244,cust_0012,393.37,card,success,,,,False,2026-08-29T04:15:28.409677,0,,
txn_scaled_0245,cust_0003,252.44,UPI,success,,,,False,2026-09-03T04:16:24.662144,0,,
txn_scaled_0246,cust_0067,579.59,UPI,success,,,,False,2026-08-31T14:46:31.102220,0,,
txn_scaled_0247,cust_0048,286.94,UPI,success,,,,False,2026-08-30T03:53:19.169109,0,,
txn_scaled_0248,cust_0032,636.89,card,success,,,,False,2026-08-29T19:58:14.734197,0,,
txn_scaled_0249,cust_0009,2815.43,UPI,success,,,,False,2026-08-31T09:47:21.826876,0,,
txn_scaled_0250,cust_0032,397.99,netbanking,success,,,,False,2026-08-31T07:15:05.700499,0,,
txn_scaled_0251,cust_0045,20185.62,UPI,success,,,,False,2026-08-30T11:25:53.744628,0,,
txn_scaled_0252,cust_0035,21198.81,wallet,success,,,,False,2026-09-03T10:38:22.350307,0,,
txn_scaled_0253,cust_0036,335.76,UPI,success,,,,False,2026-08-29T01:40:31.855536,0,,
txn_scaled_0254,cust_0017,534.49,wallet,success,,,,False,2026-08-30T02:27:15.546890,0,,
txn_scaled_0255,cust_0074,4655.1,UPI,failed,authentication_failed,customer,business_decline,False,2026-08-31T22:42:11.926264,0,,
