subscription_id,customer_id,monthly_amount,status,last_renewal_status,last_renewal_failure_code,last_renewal_attempt_at
sub_sc_0058,cust_0033,1723.63,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_sc_0059,cust_0028,1045.19,active,success,,2026-08-30T15:27:32.715754
sub_sc_0060,cust_0062,859.43,active,success,,2026-09-01T02:25:24.921177
sub_sc_0061,cust_0035,944.49,active,success,,2026-09-02T21:22:30.386323
sub_sc_0062,cust_0048,1889.28,active,success,,2026-08-30T09:47:40.937224
sub_sc_0063,cust_0018,1079.26,active,success,,2026-09-03T06:57:07.277688
sub_sc_0064,cust_0010,910.98,active,success,,2026-08-29T21:07:07.839024
sub_sc_0065,cust_0061,485.25,active,success,,2026-09-02T11:45:06.620889
sub_sc_0066,cust_0071,985.97,active,success,,2026-09-02T19:31:38.083526
sub_sc_0067,cust_0075,432.39,active,success,,2026-09-02T06:54:18.127407
sub_sc_0068,cust_0067,521.28,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_sc_0069,cust_0060,180.1,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_sc_0070,cust_0020,1755.66,active,success,,2026-08-31T05:39:10.311393
sub_sc_0071,cust_0060,2277.55,active,success,,2026-08-31T05:56:07.285110
sub_sc_0072,cust_0036,1126.98,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_sc_0073,cust_0073,496.8,active,success,,2026-08-31T19:46:54.216382
sub_sc_0074,cust_0004,460.64,active,success,,2026-09-01T09:51:13.687670
sub_sc_0075,cust_0004,1958.08,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_sc_0076,cust_0037,199.1,active,success,,2026-09-03T10:53:16.583217
sub_sc_0077,cust_0013,1086.36,active,success,,2026-09-02T01:51:09.366185
sub_sc_0078,cust_0069,1841.76,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_sc_0079,cust_0034,446.74,active,success,,2026-08-30T10:56:32.404599
sub_sc_0080,cust_0078,223.23,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_sc_0081,cust_0043,1110.02,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_sc_0082,cust_0064,216.37,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_sc_0083,cust_0060,2112.44,active,success,,2026-09-02T18:07:37.632903
sub_sc_0084,cust_0017,995.87,active,success,,2026-08-29T20:14:08.706251
sub_sc_0085,cust_0050,1083.33,active,success,,2026-08-31T12:45:10.948767
sub_sc_0086,cust_0065,2224.77,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_sc_0087,cust_0047,1110.3,active,success,,2026-08-31T03:08:35.638452
sub_sc_0088,cust_0074,878.19,active,success,,2026-08-30T12:23:21.920382
sub_sc_0089,cust_0003,1843.81,active,success,,2026-09-02T04:08:10.851222
sub_sc_0090,cust_0074,463.43,active,success,,2026-08-30T21:25:55.151488
sub_sc_0091,cust_0021,2085.52,active,success,,2026-09-02T18:16:00.894014
sub_sc_0092,cust_0004,170.44,active,success,,2026-09-02T13:06:21.170379
sub_sc_0093,cust_0053,547.08,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_sc_0094,cust_0078,2223.53,active,success,,2026-08-30T03:15:42.749750
sub_sc_0095,cust_0007,459.91,active,success,,2026-08-31T21:45:28.852606
sub_sc_0096,cust_0061,1846.74,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_sc_0097,cust_0043,1093.76,active,success,,2026-08-31T02:53:44.774928
sub_sc_0098,cust_0033,1974.45,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_sc_0099,cust_0028,909.05,active,success,,2026-08-30T15:27:32.715754
sub_sc_0100,cust_0062,988.45,active,success,,2026-09-01T02:25:24.921177
sub_sc_0101,cust_0035,882.22,active,success,,2026-09-02T21:22:30.386323
sub_sc_0102,cust_0048,2127.33,active,success,,2026-08-30T09:47:40.937224
sub_sc_0103,cust_0018,1009.86,active,success,,2026-09-03T06:57:07.277688
sub_sc_0104,cust_0010,981.09,active,success,,2026-08-29T21:07:07.839024
sub_sc_0105,cust_0061,562.65,active,success,,2026-09-02T11:45:06.620889
sub_sc_0106,cust_0071,1102.22,active,success,,2026-09-02T19:31:38.083526
sub_sc_0107,cust_0075,454.98,active,success,,2026-09-02T06:54:18.127407
sub_sc_0108,cust_0067,479.84,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_sc_0109,cust_0060,196.3,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_sc_0110,cust_0020,1751.36,active,success,,2026-08-31T05:39:10.311393
sub_sc_0111,cust_0060,1801.98,active,success,,2026-08-31T05:56:07.285110
sub_sc_0112,cust_0036,946.12,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_sc_0113,cust_0073,535.71,active,success,,2026-08-31T19:46:54.216382
sub_sc_0114,cust_0004,491.05,active,success,,2026-09-01T09:51:13.687670
sub_sc_0115,cust_0004,1838.34,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_sc_0116,cust_0037,210.07,active,success,,2026-09-03T10:53:16.583217
sub_sc_0117,cust_0013,1106.15,active,success,,2026-09-02T01:51:09.366185
sub_sc_0118,cust_0069,1962.97,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_sc_0119,cust_0034,481.48,active,success,,2026-08-30T10:56:32.404599
sub_sc_0120,cust_0078,185.58,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_sc_0121,cust_0043,1009.58,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_sc_0122,cust_0064,177.07,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_sc_0123,cust_0060,1738.63,active,success,,2026-09-02T18:07:37.632903
sub_sc_0124,cust_0017,1049.88,active,success,,2026-08-29T20:14:08.706251
sub_sc_0125,cust_0050,891.37,active,success,,2026-08-31T12:45:10.948767
sub_sc_0126,cust_0065,2120.04,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_sc_0127,cust_0047,1032.56,active,success,,2026-08-31T03:08:35.638452
sub_sc_0128,cust_0074,1076.32,active,success,,2026-08-30T12:23:21.920382
sub_sc_0129,cust_0003,1905.54,active,success,,2026-09-02T04:08:10.851222
sub_sc_0130,cust_0074,562.95,active,success,,2026-08-30T21:25:55.151488
sub_sc_0131,cust_0021,1735.52,active,success,,2026-09-02T18:16:00.894014
sub_sc_0132,cust_0004,173.71,active,success,,2026-09-02T13:06:21.170379
sub_sc_0133,cust_0053,501.63,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_sc_0134,cust_0078,1843.0,active,success,,2026-08-30T03:15:42.749750
sub_sc_0135,cust_0007,430.35,active,success,,2026-08-31T21:45:28.852606
sub_sc_0136,cust_0061,1987.28,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_sc_0137,cust_0043,1115.81,active,success,,2026-08-31T02:53:44.774928
sub_sc_0138,cust_0033,1945.9,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_sc_0139,cust_0028,975.96,active,success,,2026-08-30T15:27:32.715754
sub_sc_0140,cust_0062,1091.61,active,success,,2026-09-01T02:25:24.921177
sub_sc_0141,cust_0035,1107.99,active,success,,2026-09-02T21:22:30.386323
sub_sc_0142,cust_0048,1813.61,active,success,,2026-08-30T09:47:40.937224
sub_sc_0143,cust_0018,1058.62,active,success,,2026-09-03T06:57:07.277688
sub_sc_0144,cust_0010,1047.3,active,success,,2026-08-29T21:07:07.839024
sub_sc_0145,cust_0061,467.42,active,success,,2026-09-02T11:45:06.620889
sub_sc_0146,cust_0071,871.28,active,success,,2026-09-02T19:31:38.083526
sub_sc_0147,cust_0075,545.31,active,success,,2026-09-02T06:54:18.127407
sub_sc_0148,cust_0067,456.04,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_sc_0149,cust_0060,195.66,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_sc_0150,cust_0020,1966.81,active,success,,2026-08-31T05:39:10.311393
sub_sc_0151,cust_0060,2136.58,active,success,,2026-08-31T05:56:07.285110
sub_sc_0152,cust_0036,1021.41,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_sc_0153,cust_0073,533.48,active,success,,2026-08-31T19:46:54.216382
sub_sc_0154,cust_0004,567.47,active,success,,2026-09-01T09:51:13.687670
sub_sc_0155,cust_0004,2089.9,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_sc_0156,cust_0037,170.14,active,success,,2026-09-03T10:53:16.583217
sub_sc_0157,cust_0013,1144.12,active,success,,2026-09-02T01:51:09.366185
sub_sc_0158,cust_0069,1930.29,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_sc_0159,cust_0034,482.32,active,success,,2026-08-30T10:56:32.404599
sub_sc_0160,cust_0078,187.2,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_sc_0161,cust_0043,1104.47,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_sc_0162,cust_0064,191.47,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_sc_0163,cust_0060,1724.54,active,success,,2026-09-02T18:07:37.632903
sub_sc_0164,cust_0017,977.83,active,success,,2026-08-29T20:14:08.706251
sub_sc_0165,cust_0050,912.03,active,success,,2026-08-31T12:45:10.948767
sub_sc_0166,cust_0065,1951.46,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_sc_0167,cust_0047,853.55,active,success,,2026-08-31T03:08:35.638452
sub_sc_0168,cust_0074,1089.69,active,success,,2026-08-30T12:23:21.920382
sub_sc_0169,cust_0003,2239.74,active,success,,2026-09-02T04:08:10.851222
sub_sc_0170,cust_0074,516.93,active,success,,2026-08-30T21:25:55.151488
sub_sc_0171,cust_0021,1939.04,active,success,,2026-09-02T18:16:00.894014
sub_sc_0172,cust_0004,177.23,active,success,,2026-09-02T13:06:21.170379
sub_sc_0173,cust_0053,453.88,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_sc_0174,cust_0078,2078.27,active,success,,2026-08-30T03:15:42.749750
sub_sc_0175,cust_0007,433.7,active,success,,2026-08-31T21:45:28.852606
sub_sc_0176,cust_0061,1960.15,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_sc_0177,cust_0043,1117.1,active,success,,2026-08-31T02:53:44.774928
sub_sc_0178,cust_0033,2289.44,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_sc_0179,cust_0028,1098.65,active,success,,2026-08-30T15:27:32.715754
sub_sc_0180,cust_0062,1010.49,active,success,,2026-09-01T02:25:24.921177
sub_sc_0181,cust_0035,953.33,active,success,,2026-09-02T21:22:30.386323
sub_sc_0182,cust_0048,1980.64,active,success,,2026-08-30T09:47:40.937224
sub_sc_0183,cust_0018,1065.34,active,success,,2026-09-03T06:57:07.277688
sub_sc_0184,cust_0010,893.65,active,success,,2026-08-29T21:07:07.839024
sub_sc_0185,cust_0061,561.9,active,success,,2026-09-02T11:45:06.620889
sub_sc_0186,cust_0071,1072.94,active,success,,2026-09-02T19:31:38.083526
sub_sc_0187,cust_0075,472.68,active,success,,2026-09-02T06:54:18.127407
sub_sc_0188,cust_0067,552.73,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_sc_0189,cust_0060,183.43,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_sc_0190,cust_0020,1765.36,active,success,,2026-08-31T05:39:10.311393
sub_sc_0191,cust_0060,1886.38,active,success,,2026-08-31T05:56:07.285110
sub_sc_0192,cust_0036,954.54,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_sc_0193,cust_0073,434.12,active,success,,2026-08-31T19:46:54.216382
sub_sc_0194,cust_0004,549.78,active,success,,2026-09-01T09:51:13.687670
sub_sc_0195,cust_0004,2235.44,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_sc_0196,cust_0037,228.8,active,success,,2026-09-03T10:53:16.583217
sub_sc_0197,cust_0013,929.6,active,success,,2026-09-02T01:51:09.366185
sub_sc_0198,cust_0069,2073.59,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_sc_0199,cust_0034,492.2,active,success,,2026-08-30T10:56:32.404599
sub_sc_0200,cust_0078,195.9,active,failed,authentication_failed,2026-09-02T20:33:37.415222
sub_sc_0201,cust_0043,1032.23,active,failed,authentication_failed,2026-08-30T17:24:15.045570
sub_sc_0202,cust_0064,215.17,active,failed,insufficient_funds,2026-09-03T06:33:48.951734
sub_sc_0203,cust_0060,1826.62,active,success,,2026-09-02T18:07:37.632903
sub_sc_0204,cust_0017,1011.75,active,success,,2026-08-29T20:14:08.706251
sub_sc_0205,cust_0050,1110.82,active,success,,2026-08-31T12:45:10.948767
sub_sc_0206,cust_0065,2118.31,active,failed,bank_technical_error,2026-08-30T22:57:04.403620
sub_sc_0207,cust_0047,1133.77,active,success,,2026-08-31T03:08:35.638452
sub_sc_0208,cust_0074,864.0,active,success,,2026-08-30T12:23:21.920382
sub_sc_0209,cust_0003,1906.93,active,success,,2026-09-02T04:08:10.851222
sub_sc_0210,cust_0074,448.66,active,success,,2026-08-30T21:25:55.151488
sub_sc_0211,cust_0021,1848.83,active,success,,2026-09-02T18:16:00.894014
sub_sc_0212,cust_0004,197.86,active,success,,2026-09-02T13:06:21.170379
sub_sc_0213,cust_0053,501.52,active,failed,authentication_failed,2026-09-01T10:26:41.232571
sub_sc_0214,cust_0078,2052.29,active,success,,2026-08-30T03:15:42.749750
sub_sc_0215,cust_0007,567.95,active,success,,2026-08-31T21:45:28.852606
sub_sc_0216,cust_0061,2084.38,active,failed,payment_timed_out,2026-09-01T22:20:58.877345
sub_sc_0217,cust_0043,1013.19,active,success,,2026-08-31T02:53:44.774928
sub_sc_0218,cust_0033,1730.76,active,failed,card_expired,2026-09-02T12:55:41.878933
sub_sc_0219,cust_0028,1113.23,active,success,,2026-08-30T15:27:32.715754
sub_sc_0220,cust_0062,943.56,active,success,,2026-09-01T02:25:24.921177
sub_sc_0221,cust_0035,1015.91,active,success,,2026-09-02T21:22:30.386323
sub_sc_0222,cust_0048,1800.22,active,success,,2026-08-30T09:47:40.937224
sub_sc_0223,cust_0018,1062.03,active,success,,2026-09-03T06:57:07.277688
sub_sc_0224,cust_0010,914.29,active,success,,2026-08-29T21:07:07.839024
sub_sc_0225,cust_0061,527.25,active,success,,2026-09-02T11:45:06.620889
sub_sc_0226,cust_0071,1083.98,active,success,,2026-09-02T19:31:38.083526
sub_sc_0227,cust_0075,512.64,active,success,,2026-09-02T06:54:18.127407
sub_sc_0228,cust_0067,463.45,active,failed,authentication_failed,2026-08-31T07:26:47.944287
sub_sc_0229,cust_0060,218.68,active,failed,bank_not_available,2026-08-31T02:15:25.061797
sub_sc_0230,cust_0020,2264.45,active,success,,2026-08-31T05:39:10.311393
sub_sc_0231,cust_0060,1717.8,active,success,,2026-08-31T05:56:07.285110
sub_sc_0232,cust_0036,1090.44,active,failed,incorrect_otp,2026-09-02T01:45:00.572558
sub_sc_0233,cust_0073,541.15,active,success,,2026-08-31T19:46:54.216382
sub_sc_0234,cust_0004,544.19,active,success,,2026-09-01T09:51:13.687670
sub_sc_0235,cust_0004,2014.83,active,failed,incorrect_otp,2026-08-30T13:26:41.007894
sub_sc_0236,cust_0037,177.93,active,success,,2026-09-03T10:53:16.583217
sub_sc_0237,cust_0013,957.28,active,success,,2026-09-02T01:51:09.366185
sub_sc_0238,cust_0069,2111.76,active,failed,authentication_failed,2026-08-30T01:17:19.695651
sub_sc_0239,cust_0034,524.38,active,success,,2026-08-30T10:56:32.404599
