customer_id,preferred_method,is_repeat_failer,signup_days_ago
cust_sc_0103,card,False,286
cust_sc_0104,card,False,580
cust_sc_0105,UPI,False,796
cust_sc_0106,UPI,False,42
cust_sc_0107,UPI,False,77
cust_sc_0108,netbanking,False,745
cust_sc_0109,card,False,415
cust_sc_0110,card,False,156
cust_sc_0111,UPI,False,584
cust_sc_0112,card,False,448
cust_sc_0113,UPI,False,234
cust_sc_0114,UPI,False,515
cust_sc_0115,UPI,True,122
cust_sc_0116,UPI,False,706
cust_sc_0117,UPI,False,400
cust_sc_0118,card,False,267
cust_sc_0119,netbanking,False,21
cust_sc_0120,UPI,False,559
cust_sc_0121,card,False,358
cust_sc_0122,UPI,True,474
cust_sc_0123,card,True,746
cust_sc_0124,card,False,192
cust_sc_0125,UPI,False,650
cust_sc_0126,card,False,633
cust_sc_0127,UPI,False,175
cust_sc_0128,card,False,553
cust_sc_0129,card,False,510
cust_sc_0130,netbanking,True,861
cust_sc_0131,UPI,False,256
cust_sc_0132,netbanking,False,97
cust_sc_0133,netbanking,False,788
cust_sc_0134,UPI,False,685
cust_sc_0135,card,False,281
cust_sc_0136,card,False,226
cust_sc_0137,card,False,716
cust_sc_0138,UPI,False,697
cust_sc_0139,UPI,False,539
cust_sc_0140,UPI,False,75
cust_sc_0141,card,False,245
cust_sc_0142,UPI,False,734
cust_sc_0143,UPI,False,42
cust_sc_0144,UPI,False,253
cust_sc_0145,card,False,562
cust_sc_0146,netbanking,True,594
cust_sc_0147,UPI,False,494
cust_sc_0148,UPI,False,109
cust_sc_0149,UPI,False,430
cust_sc_0150,card,False,699
cust_sc_0151,card,False,72
cust_sc_0152,UPI,False,892
cust_sc_0153,UPI,True,559
cust_sc_0154,UPI,False,295
cust_sc_0155,netbanking,False,87
cust_sc_0156,netbanking,False,573
cust_sc_0157,card,True,563
cust_sc_0158,wallet,False,781
cust_sc_0159,UPI,False,507
cust_sc_0160,UPI,False,291
cust_sc_0161,UPI,False,114
cust_sc_0162,netbanking,False,99
cust_sc_0163,UPI,False,105
cust_sc_0164,card,False,37
cust_sc_0165,card,False,728
cust_sc_0166,UPI,False,613
cust_sc_0167,netbanking,False,787
cust_sc_0168,card,False,358
cust_sc_0169,UPI,False,791
cust_sc_0170,UPI,False,109
cust_sc_0171,UPI,False,280
cust_sc_0172,card,False,559
cust_sc_0173,netbanking,True,90
cust_sc_0174,netbanking,False,643
cust_sc_0175,UPI,False,206
cust_sc_0176,UPI,False,243
cust_sc_0177,wallet,False,885
cust_sc_0178,UPI,False,294
cust_sc_0179,netbanking,False,176
cust_sc_0180,UPI,False,283
cust_sc_0181,card,False,83
cust_sc_0182,UPI,False,756
cust_sc_0183,card,False,286
cust_sc_0184,card,False,580
cust_sc_0185,UPI,False,796
cust_sc_0186,UPI,False,42
cust_sc_0187,UPI,False,77
cust_sc_0188,netbanking,False,745
cust_sc_0189,card,False,415
cust_sc_0190,card,False,156
cust_sc_0191,UPI,False,584
cust_sc_0192,card,False,448
cust_sc_0193,UPI,False,234
cust_sc_0194,UPI,False,515
cust_sc_0195,UPI,True,122
cust_sc_0196,UPI,False,706
cust_sc_0197,UPI,False,400
cust_sc_0198,card,False,267
cust_sc_0199,netbanking,False,21
cust_sc_0200,UPI,False,559
cust_sc_0201,card,False,358
cust_sc_0202,UPI,True,474
cust_sc_0203,card,True,746
cust_sc_0204,card,False,192
cust_sc_0205,UPI,False,650
cust_sc_0206,card,False,633
cust_sc_0207,UPI,False,175
cust_sc_0208,card,False,553
cust_sc_0209,card,False,510
cust_sc_0210,netbanking,True,861
cust_sc_0211,UPI,False,256
cust_sc_0212,netbanking,False,97
cust_sc_0213,netbanking,False,788
cust_sc_0214,UPI,False,685
cust_sc_0215,card,False,281
cust_sc_0216,card,False,226
cust_sc_0217,card,False,716
cust_sc_0218,UPI,False,697
cust_sc_0219,UPI,False,539
cust_sc_0220,UPI,False,75
cust_sc_0221,card,False,245
cust_sc_0222,UPI,False,734
cust_sc_0223,UPI,False,42
cust_sc_0224,UPI,False,253
cust_sc_0225,card,False,562
cust_sc_0226,netbanking,True,594
cust_sc_0227,UPI,False,494
cust_sc_0228,UPI,False,109
cust_sc_0229,UPI,False,430
cust_sc_0230,card,False,699
cust_sc_0231,card,False,72
cust_sc_0232,UPI,False,892
cust_sc_0233,UPI,True,559
cust_sc_0234,UPI,False,295
cust_sc_0235,netbanking,False,87
cust_sc_0236,netbanking,False,573
cust_sc_0237,card,True,563
cust_sc_0238,wallet,False,781
cust_sc_0239,UPI,False,507
cust_sc_0240,UPI,False,291
cust_sc_0241,UPI,False,114
cust_sc_0242,netbanking,False,99
cust_sc_0243,UPI,False,105
cust_sc_0244,card,False,37
cust_sc_0245,card,False,728
cust_sc_0246,UPI,False,613
cust_sc_0247,netbanking,False,787
cust_sc_0248,card,False,358
cust_sc_0249,UPI,False,791
cust_sc_0250,UPI,False,109
cust_sc_0251,UPI,False,280
cust_sc_0252,card,False,559
cust_sc_0253,netbanking,True,90
cust_sc_0254,netbanking,False,643
cust_sc_0255,UPI,False,206
cust_sc_0256,UPI,False,243
cust_sc_0257,wallet,False,885
cust_sc_0258,UPI,False,294
cust_sc_0259,netbanking,False,176
cust_sc_0260,UPI,False,283
cust_sc_0261,card,False,83
cust_sc_0262,UPI,False,756
cust_sc_0263,card,False,286
cust_sc_0264,card,False,580
cust_sc_0265,UPI,False,796
cust_sc_0266,UPI,False,42
cust_sc_0267,UPI,False,77
cust_sc_0268,netbanking,False,745
cust_sc_0269,card,False,415
cust_sc_0270,card,False,156
cust_sc_0271,UPI,False,584
cust_sc_0272,card,False,448
cust_sc_0273,UPI,False,234
cust_sc_0274,UPI,False,515
cust_sc_0275,UPI,True,122
cust_sc_0276,UPI,False,706
cust_sc_0277,UPI,False,400
cust_sc_0278,card,False,267
cust_sc_0279,netbanking,False,21
cust_sc_0280,UPI,False,559
cust_sc_0281,card,False,358
cust_sc_0282,UPI,True,474
cust_sc_0283,card,True,746
cust_sc_0284,card,False,192
cust_sc_0285,UPI,False,650
cust_sc_0286,card,False,633
cust_sc_0287,UPI,False,175
cust_sc_0288,card,False,553
cust_sc_0289,card,False,510
cust_sc_0290,netbanking,True,861
cust_sc_0291,UPI,False,256
cust_sc_0292,netbanking,False,97
cust_sc_0293,netbanking,False,788
cust_sc_0294,UPI,False,685
cust_sc_0295,card,False,281
cust_sc_0296,card,False,226
cust_sc_0297,card,False,716
cust_sc_0298,UPI,False,697
cust_sc_0299,UPI,False,539
cust_sc_0300,UPI,False,75
cust_sc_0301,card,False,245
cust_sc_0302,UPI,False,734
cust_sc_0303,UPI,False,42
cust_sc_0304,UPI,False,253
cust_sc_0305,card,False,562
cust_sc_0306,netbanking,True,594
cust_sc_0307,UPI,False,494
cust_sc_0308,UPI,False,109
cust_sc_0309,UPI,False,430
cust_sc_0310,card,False,699
cust_sc_0311,card,False,72
cust_sc_0312,UPI,False,892
cust_sc_0313,UPI,True,559
cust_sc_0314,UPI,False,295
cust_sc_0315,netbanking,False,87
cust_sc_0316,netbanking,False,573
cust_sc_0317,card,True,563
cust_sc_0318,wallet,False,781
cust_sc_0319,UPI,False,507
cust_sc_0320,UPI,False,291
cust_sc_0321,UPI,False,114
cust_sc_0322,netbanking,False,99
cust_sc_0323,UPI,False,105
cust_sc_0324,card,False,37
cust_sc_0325,card,False,728
cust_sc_0326,UPI,False,613
cust_sc_0327,netbanking,False,787
cust_sc_0328,card,False,358
cust_sc_0329,UPI,False,791
cust_sc_0330,UPI,False,109
cust_sc_0331,UPI,False,280
cust_sc_0332,card,False,559
cust_sc_0333,netbanking,True,90
cust_sc_0334,netbanking,False,643
cust_sc_0335,UPI,False,206
cust_sc_0336,UPI,False,243
cust_sc_0337,wallet,False,885
cust_sc_0338,UPI,False,294
cust_sc_0339,netbanking,False,176
cust_sc_0340,UPI,False,283
cust_sc_0341,card,False,83
cust_sc_0342,UPI,False,756
cust_sc_0343,card,False,286
cust_sc_0344,card,False,580
cust_sc_0345,UPI,False,796
cust_sc_0346,UPI,False,42
cust_sc_0347,UPI,False,77
cust_sc_0348,netbanking,False,745
cust_sc_0349,card,False,415
cust_sc_0350,card,False,156
cust_sc_0351,UPI,False,584
cust_sc_0352,card,False,448
cust_sc_0353,UPI,False,234
cust_sc_0354,UPI,False,515
cust_sc_0355,UPI,True,122
cust_sc_0356,UPI,False,706
cust_sc_0357,UPI,False,400
cust_sc_0358,card,False,267
cust_sc_0359,netbanking,False,21
cust_sc_0360,UPI,False,559
cust_sc_0361,card,False,358
cust_sc_0362,UPI,True,474
cust_sc_0363,card,True,746
cust_sc_0364,card,False,192
cust_sc_0365,UPI,False,650
cust_sc_0366,card,False,633
cust_sc_0367,UPI,False,175
cust_sc_0368,card,False,553
cust_sc_0369,card,False,510
cust_sc_0370,netbanking,True,861
cust_sc_0371,UPI,False,256
cust_sc_0372,netbanking,False,97
cust_sc_0373,netbanking,False,788
cust_sc_0374,UPI,False,685
cust_sc_0375,card,False,281
cust_sc_0376,card,False,226
cust_sc_0377,card,False,716
cust_sc_0378,UPI,False,697
cust_sc_0379,UPI,False,539
cust_sc_0380,UPI,False,75
cust_sc_0381,card,False,245
cust_sc_0382,UPI,False,734
cust_sc_0383,UPI,False,42
cust_sc_0384,UPI,False,253
cust_sc_0385,card,False,562
cust_sc_0386,netbanking,True,594
cust_sc_0387,UPI,False,494
cust_sc_0388,UPI,False,109
cust_sc_0389,UPI,False,430
cust_sc_0390,card,False,699
cust_sc_0391,card,False,72
cust_sc_0392,UPI,False,892
cust_sc_0393,UPI,True,559
cust_sc_0394,UPI,False,295
cust_sc_0395,netbanking,False,87
cust_sc_0396,netbanking,False,573
cust_sc_0397,card,True,563
cust_sc_0398,wallet,False,781
cust_sc_0399,UPI,False,507
cust_sc_0400,UPI,False,291
cust_sc_0401,UPI,False,114
cust_sc_0402,netbanking,False,99
cust_sc_0403,UPI,False,105
cust_sc_0404,card,False,37
cust_sc_0405,card,False,728
cust_sc_0406,UPI,False,613
cust_sc_0407,netbanking,False,787
cust_sc_0408,card,False,358
cust_sc_0409,UPI,False,791
cust_sc_0410,UPI,False,109
cust_sc_0411,UPI,False,280
cust_sc_0412,card,False,559
cust_sc_0413,netbanking,True,90
cust_sc_0414,netbanking,False,643
cust_sc_0415,UPI,False,206
cust_sc_0416,UPI,False,243
cust_sc_0417,wallet,False,885
cust_sc_0418,UPI,False,294
cust_sc_0419,netbanking,False,176
cust_sc_0420,UPI,False,283
cust_sc_0421,card,False,83
cust_sc_0422,UPI,False,756
cust_sc_0423,card,False,286
cust_sc_0424,card,False,580
cust_sc_0425,UPI,False,796
cust_sc_0426,UPI,False,42
cust_sc_0427,UPI,False,77
cust_sc_0428,netbanking,False,745
cust_sc_0429,card,False,415
cust_sc_0430,card,False,156
cust_sc_0431,UPI,False,584
cust_sc_0432,card,False,448
cust_sc_0433,UPI,False,234
cust_sc_0434,UPI,False,515
cust_sc_0435,UPI,True,122
cust_sc_0436,UPI,False,706
cust_sc_0437,UPI,False,400
cust_sc_0438,card,False,267
cust_sc_0439,netbanking,False,21
cust_sc_0440,UPI,False,559
cust_sc_0441,card,False,358
cust_sc_0442,UPI,True,474
cust_sc_0443,card,True,746
cust_sc_0444,card,False,192
cust_sc_0445,UPI,False,650
cust_sc_0446,card,False,633
cust_sc_0447,UPI,False,175
cust_sc_0448,card,False,553
cust_sc_0449,card,False,510
cust_sc_0450,netbanking,True,861
cust_sc_0451,UPI,False,256
cust_sc_0452,netbanking,False,97
cust_sc_0453,netbanking,False,788
cust_sc_0454,UPI,False,685
cust_sc_0455,card,False,281
cust_sc_0456,card,False,226
cust_sc_0457,card,False,716
cust_sc_0458,UPI,False,697
cust_sc_0459,UPI,False,539
cust_sc_0460,UPI,False,75
cust_sc_0461,card,False,245
cust_sc_0462,UPI,False,734
cust_sc_0463,UPI,False,42
cust_sc_0464,UPI,False,253
cust_sc_0465,card,False,562
cust_sc_0466,netbanking,True,594
cust_sc_0467,UPI,False,494
cust_sc_0468,UPI,False,109
cust_sc_0469,UPI,False,430
cust_sc_0470,card,False,699
cust_sc_0471,card,False,72
cust_sc_0472,UPI,False,892
cust_sc_0473,UPI,True,559
cust_sc_0474,UPI,False,295
cust_sc_0475,netbanking,False,87
cust_sc_0476,netbanking,False,573
cust_sc_0477,card,True,563
cust_sc_0478,wallet,False,781
cust_sc_0479,UPI,False,507
